id,text,created_at,reposts_count,comments_count,attitudes_count,source
5132797083648501,"#KPL长生[超话]##长生登场KPL两周年# 
⚠️⚠️温岭宝龙联系到小屋说大屏坏了，需要维修

今天不一定能上屏，大家今天暂时不要去打卡，避免跑空。后续商场那边有进度了我会更新在评论区 ​",Tue Feb 11 09:34:09 +0800 2025,1,34,40,超话主持人（KPL长生超话）
5132929363348792,"wtt的优化措施，给运动员松绑力度极大。四个大满贯赛事没有强制参赛，6个冠军赛事可以缺席两站，奥运冠军四年内可以直通所有赛事。

    不得不承认，wtt做出了最大程度的优化与让步。但我说过，这对中国队意义不大，因为国乒球员参赛不参赛，不在个人手上，刘国梁安排林诗栋参赛，他敢缺席吗？

     ​",Tue Feb 11 18:19:48 +0800 2025,45,287,3789,2024微博新锐新知博主
5132939704666677,【转发收藏！#2025元宵晚会最全阵容#】近日，总台及各大卫视跨年晚会阵容陆续公布。@TFBOYS-易烊千玺 @汪苏泷 @黄子弘凡_Lars @卡布叻_周深 @摩登兄弟刘宇宁 @刘宇Yu_ 等加盟总台元宵晚会；@陈丽君_点绛唇 @登陆少年组合 （@TOP登陆少年-朱志鑫 @TOP登陆少年-张泽禹 @TOP登陆少年-张极  ​,Tue Feb 11 19:00:53 +0800 2025,5365,4418,139377,新华社法人微博
5132954622231330,"#电视剧掌心# 主题曲《沧海有泪》已上线

QQ音乐：http://t.cn/A61hml74
酷狗音乐：http://t.cn/A61hml7U
酷我音乐：http://t.cn/A61hml7y ​",Tue Feb 11 20:00:10 +0800 2025,4860,3837,9617,歌手，艺人
5132954658936832,#六妹家喜加点辣# 说话这一块，六妹是懂拿捏的🤔#六姊妹# http://t.cn/A617uSZL ​,Tue Feb 11 20:00:19 +0800 2025,1292,2520,18398,娱乐明星领域博主
5132953867523099,打卡🇰🇭！#见why了# ​,Tue Feb 11 19:57:10 +0800 2025,5241,9866,15298,星莲影视签约演员
5132170094188537,"#明日方舟[超话]##玛恩纳# 
朝这边喊一声玛恩纳，会收获六份无动于衷无事发生。
(薇薇新皮的超级小叔叔太萌了) ​",Sun Feb 09 16:02:44 +0800 2025,202,7,1092,动漫领域博主
5132923386727597,【泪崩！男子得知奶奶离世悲伤到无法开车，特警化身代驾送其回家！】#亲人去世巡逻特警帮情绪崩溃男子开车#2月7日下午，在武汉市武昌区张之洞路，一名男子驾驶途中突闻噩耗，情绪崩溃，无法继续开车。执勤特警发现后，暖心化身代驾司机，把男子送到家人身边。（来源：武汉特警）#930新闻眼#  ​,Tue Feb 11 17:56:03 +0800 2025,0,0,0,广西电台私家车930视频品牌
5132941057589888,姐@孙怡微博 原来你给我哥@孙阳_Sunnysun 藏了这么多！我也想要🙋🏻‍♂#余烬之上# ​,Tue Feb 11 19:06:16 +0800 2025,30199,17500,18805,演员
5132922455329782,"#极禹[超话]##朱志鑫粉丝无视追星底线# 
必须赔钱道歉‼️不存在其他任何原因，只是她们霸凌我们强占，恶语相向，毫无素质和人性，很多粉丝都被推到踩坏东西，还扯坏了我们的灯牌， 这样的粉圈还不管吗@登陆少年组合 @时代峰峻 ​",Tue Feb 11 17:52:21 +0800 2025,15184,1111,3535,超话创作官（极禹超话）
5132956845213065,#张泽禹绿海一条街# 张泽禹家的应援绿海太震撼了吧，俯拍[哆啦A梦吃惊] ​,Tue Feb 11 20:09:00 +0800 2025,653,531,20398,娱乐明星领域博主
5132948495927433,【#宁德时代向港交所提交上市申请#】2月11日，宁德时代新能源科技股份有限公司向港交所提交上市申请，保荐人包括美银、摩根大通、高盛、摩根士丹利等。(财联社) ​,Tue Feb 11 19:35:49 +0800 2025,0,1,6,蓝鲸新闻官方微博
5132936805090942,"如何成为J人？和比你更P的朋友一起旅行！
连我都开始做rundown了，一场旅行直接改变人格
#元宵许个圆满愿#愿我今年飞机绝不卡点。 ​",Tue Feb 11 18:49:22 +0800 2025,931,1563,23018,Mr.Miss主唱，独立音乐人
5132943997010143,"#李瓒killmehealyou# 

这部剧真的被李瓒狠狠拿捏，眼泪止不住😭

李瓒去看望东国🪖那段，真的太催泪。他知道对方被噩梦纠缠，他毫无保留地分享自己缓解噩梦的办法。李瓒眼睛里，全是温柔和怜悯。他用满是坚定的话语鼓励对方别放弃。
这一刻，李瓒剖开自己的伤疤，只为治愈眼前的人。他放下戒备邀 ​",Tue Feb 11 19:17:56 +0800 2025,2187,1161,6497,微博电视团成员
5132941982437903,"下班来看苏域上班.
#陈鑫海[超话]##仙台有树# ​",Tue Feb 11 19:09:57 +0800 2025,14280,13688,14571,演员，代表作《最食人间烟火色》
5132230239983476,"#哪吒2票房破80亿#

现在全球票房第十名是120亿，我在想大家会不会为了让《哪吒2》进前十呢？我觉得不难，你们觉得呢？ ​",Sun Feb 09 20:01:44 +0800 2025,197,691,12446,超话创作官（Giselle超话）
5132849311386097,【#男子楼上扔烟头引爆楼下炮摊#】2月11日据南阳消防，一男子通过窗户，将一只未熄灭的烟头丢到楼下，引爆楼下炮摊，所幸最后火势被扑灭，无人员伤亡。 http://t.cn/A61hFBQc ​,Tue Feb 11 13:01:42 +0800 2025,123,272,8033,四川广播电视台《四川观察》官方微博
